strategy,sl,tp,min_liquidity_m,max_positions,threshold,dynamic_sizing,return_pct,win_rate,max_drawdown,sharpe,total_trades,score
T1_top5,0,0,0.0,5,0.58,False,1388.36,67.87,-7.53,13.32,389,2330.752075029308
T1_blended_top5,0,0,0.0,5,0.55,False,1389.74,68.0,-7.44,13.04,400,2311.8423696682457
T1_top5,0,0,0.0,5,0.6,False,1364.7,67.7,-7.53,13.24,387,2278.23305978898
T1_top5,2,4,0.0,5,0.58,False,846.64,58.87,-4.41,13.41,389,2255.0984103512014
T1_top5,2,4,0.0,5,0.6,False,842.89,58.91,-4.41,13.38,387,2240.4358964879852
T1_top5,2,4,0.0,1,0.0,False,2961.44,75.0,-15.29,11.01,72,2183.357544505832
T1_top5,2,4,0.0,1,0.0,True,2961.44,75.0,-15.29,11.01,72,2183.357544505832
T1_top5,2,4,0.0,1,0.55,True,2961.44,75.0,-15.29,11.01,72,2183.357544505832
T1_top5,2,4,0.0,1,0.58,True,2961.44,75.0,-15.29,11.01,72,2183.357544505832
T1_top5,2,4,0.0,1,0.55,False,2961.44,75.0,-15.29,11.01,72,2183.357544505832
T1_top5,2,4,0.0,1,0.58,False,2961.44,75.0,-15.29,11.01,72,2183.357544505832
T1_top5,2,4,0.0,1,0.6,True,2961.44,75.0,-15.29,11.01,72,2183.357544505832
T1_top5,2,4,0.0,1,0.6,False,2961.44,75.0,-15.29,11.01,72,2183.357544505832
T1_top5,2,4,0.0,3,0.6,True,2814.34,72.92,-15.29,11.27,96,2119.825156537753
T1_top5,2,4,0.0,3,0.0,True,2814.34,72.92,-15.29,11.27,96,2119.825156537753
T1_top5,2,4,0.0,3,0.55,True,2814.34,72.92,-15.29,11.27,96,2119.825156537753
T1_top5,2,4,0.0,3,0.58,True,2814.34,72.92,-15.29,11.27,96,2119.825156537753
T1_blended_top5,0,0,0.0,5,0.58,False,1289.19,68.75,-7.43,12.73,384,2099.712775800712
T1_blended_top5,5,10,0.0,3,0.6,True,3378.76,74.75,-18.55,11.05,99,2082.5605115089515
T1_blended_top5,2,4,0.0,3,0.55,False,1403.98,62.45,-8.46,12.92,237,2065.8986892177586
T1_blended_top5,2,4,0.0,3,0.0,False,1403.98,62.45,-8.46,12.92,237,2065.8986892177586
T1_top5,0,0,0.0,5,0.55,False,1362.84,67.17,-8.43,13.11,396,2039.2017391304346
